[9614, 10001]
[8740, 9813]
[8082, 9785]
[8283, 9781]
[8503, 9973]
[9686, 9857]
[8189, 9785]
[6214, 9919]
[9619, 10054]
[7854, 9953]
[7792, 10005]
[8871, 9822]
[8629, 9859]
[8128, 9808]
[9651, 10031]
[9341, 9959]
[7442, 9798]
[7462, 9992]
[7009, 9973]
[8830, 10054]
[7317, 9903]
[7149, 9870]
[6470, 9992]
[7439, 10062]
[6622, 9798]
[6856, 9808]
[7842, 9808]
[7809, 9876]
[7242, 9880]
[6361, 9808]
[8771, 9808]
[6767, 10062]
[8743, 10055]
[6161, 9938]
[9054, 9798]
[8761, 9808]
[7780, 10036]
[7614, 9973]
[7526, 9785]
[7620, 9808]
[8095, 10072]
[8551, 9972]
[7840, 9808]
[6985, 10044]
[9073, 9781]
[9446, 9798]
[6624, 9777]
[7158, 9871]
[6073, 9798]
[6738, 9777]
[7701, 9973]
[9604, 9808]
[6836, 9789]
[9242, 9808]
[7940, 9813]
[8964, 9808]
[7301, 9798]
[9194, 9981]
[7894, 9813]
[9654, 9959]
[7391, 9808]
[7315, 9973]
[8890, 9785]
[7167, 9973]
[7746, 10020]
[8077, 9808]
[8173, 9785]
[9215, 9973]
[8194, 9889]
[6951, 10054]
[6097, 9781]
[8562, 9971]
[8295, 9798]
[8801, 9781]
[8390, 10020]
[6117, 10036]
[9201, 9808]
[6204, 9959]
[8399, 9808]
[6873, 9927]
[8021, 9808]
[7802, 9808]
[8451, 9781]
[6623, 9798]
[7632, 9982]
[6192, 9789]
[7659, 9973]
[7489, 9865]
[7756, 9808]
[9724, 9959]
[6630, 9785]
[8657, 9808]
[8484, 9865]
[7379, 9973]
[7607, 9808]
[7929, 9865]
[8748, 10036]
[8891, 9959]
[6257, 9973]
[8371, 9973]
[8818, 9992]
[6736, 9973]
[7186, 9798]
[9067, 9781]
[8147, 9828]
[6689, 10036]
[8242, 9993]
[9450, 9959]
[9571, 9948]
[7730, 9981]
[9725, 9808]
[6411, 10036]
[7156, 9792]
[6583, 9785]
[7125, 9973]
[6572, 9808]
[7291, 9808]
[8583, 9785]
[8772, 9984]
[9434, 9808]
[9689, 9973]
[7653, 9813]
[7845, 9808]
[7541, 10036]
[8394, 9785]
[6585, 9808]
[6276, 9798]
[7228, 9992]
[9240, 9781]
[8659, 10036]
[6457, 9973]
[8525, 10036]
[9111, 10036]
[7865, 9808]
[9274, 9928]
[6393, 9798]
[7202, 9973]
[7982, 9808]
[8553, 9973]
[7658, 10054]
[7634, 9919]
[9317, 9808]
[8633, 9808]
[9257, 9870]
[7193, 9808]
[9035, 9951]
[8498, 9854]
[7818, 9965]
[7588, 9808]
[9334, 10072]
[7052, 9973]
[6721, 9807]
[8819, 9919]
[8055, 9808]
[7970, 9978]
[8117, 10070]
[9477, 10036]
[7030, 10059]
[7805, 9949]
[7313, 9865]
[9365, 9781]
[8970, 9808]
[6386, 10016]
[6816, 9862]
[6146, 9857]
[8696, 9973]
[6534, 9788]
[9439, 9974]
[7169, 9973]
[8790, 9808]
[7221, 9973]
[6792, 9854]
[6060, 9973]
[8794, 9798]
[6058, 9973]
[7077, 9831]
[9676, 9798]
[6519, 9992]
[9539, 9808]
[9164, 10020]
[7685, 9973]
[8274, 9973]
[8869, 9854]
[9021, 9973]
[6815, 9992]
[9623, 9808]
[7209, 10036]
[7424, 9808]
[8444, 9808]
[6355, 10005]
[8373, 9932]
[8737, 9808]
[7554, 9869]
[7552, 9971]
[7407, 9992]
[7481, 9808]
[6151, 9798]
[8103, 9973]
[7358, 10054]
[7743, 9781]
[6629, 10036]
[7866, 9798]
[6866, 10044]
[9059, 9808]
[9469, 9950]
[9740, 9808]
[8924, 9973]
[7406, 9808]
[9294, 9808]
[8374, 9798]
[8312, 9973]
[8207, 9959]
[7151, 9781]
[9162, 9808]
[6114, 9854]
[9489, 9798]
[6992, 9973]
[7308, 10005]
[9428, 9959]
[8862, 9992]
[9396, 10054]
[7553, 9973]
[9369, 9959]
[8800, 9959]
[6653, 9973]
[7142, 9781]
[6813, 9808]
[7631, 9973]
[6713, 9781]
[8473, 9785]
[7295, 9785]
[7351, 9919]
[8824, 10043]
[7413, 9992]
[9245, 9882]
[6464, 9971]
[9419, 9973]
[8656, 9859]
[8468, 10024]
[8245, 10036]
[6352, 9842]
[6780, 9973]
[9511, 9798]
[8097, 9789]
[8975, 10054]
[7681, 9785]
[6981, 9800]
[6415, 9808]
[8643, 9973]
[8840, 9873]
[8220, 10004]
[7455, 9830]
[8680, 9870]
[9022, 9975]
[7880, 9808]
[8905, 9882]
[8684, 9808]
[6449, 9808]
[8487, 9798]
[7223, 10069]
[6227, 9973]
[7501, 9808]
[8704, 9808]
[9633, 9798]
[8127, 9808]
[7853, 9808]
[6628, 9800]
[6272, 9973]
[7531, 9973]
[9425, 9785]
[9721, 9808]
[7194, 9973]
[7888, 9808]
[8827, 9959]
[6365, 9808]
[8849, 9808]
[9184, 10024]
[8136, 9788]
[6297, 9785]
[9563, 9865]
[8458, 9785]
[6295, 10024]
[6142, 9992]
[7410, 10056]
[8939, 10074]
[6138, 9785]
[6752, 9785]
[8666, 10024]
[6095, 9808]
[7364, 9973]
[6962, 9808]
[6798, 9808]
[9291, 9798]
[6811, 9798]
[6434, 10057]
[7939, 9781]
[9179, 9973]
[8556, 9808]
[8688, 9808]
[7953, 9808]
[9048, 9808]
[7483, 9973]
[7741, 10071]
[9558, 9973]
[8418, 9859]
[7484, 9808]
[6517, 10054]
[8882, 9974]
[7474, 9935]
[7145, 9808]
[9691, 9992]
[7082, 9847]
[8402, 9808]
[6057, 9781]
[8436, 9973]
[7387, 9973]
[8449, 9808]
[6768, 9956]
[8030, 9854]
[8041, 9974]
[6999, 9822]
[8084, 9808]
[6353, 9932]
[7485, 9973]
[7589, 9808]
[6492, 10004]
[7557, 10072]
[7105, 9808]
[8520, 10020]
[7212, 9785]
[8653, 9982]
[8813, 9808]
[6602, 9785]
[8946, 9897]
[7507, 9973]
[6318, 9781]
[6978, 9971]
[6860, 9808]
[9298, 9973]
